#Combined spectrum created by combine_nIR_spectra.pro, knotE_N3.specfrom list
#Wavelengths were already in vacuum heliocentric
#Units are erg/s/cmsq/A, determined by xtellcor_general
wave  flam  noise
12770.1000  3.792e-17  1.218e-17
12772.7000  2.194e-17  1.106e-17
12775.2000  2.849e-17  1.251e-17
12777.8000  2.805e-17  1.398e-17
12780.3000  2.150e-17  1.656e-17
12782.9000  6.850e-18  1.668e-17
12785.5000  5.887e-18  1.463e-17
12788.0000  -9.325e-18  1.175e-17
12790.6000  -1.551e-17  7.686e-18
12793.1000  -3.087e-18  7.239e-18
12795.7000  5.561e-19  8.453e-18
12798.3000  9.950e-18  1.047e-17
12800.8000  -4.179e-19  1.330e-17
12803.4000  1.049e-17  1.408e-17
12805.9000  3.920e-18  1.408e-17
12808.5000  7.996e-18  1.144e-17
12811.1000  1.299e-17  7.847e-18
12813.6000  2.065e-18  5.154e-18
12816.2000  2.180e-18  4.702e-18
12818.8000  -1.403e-17  6.199e-18
12821.3000  1.303e-17  8.287e-18
12823.9000  1.106e-17  8.641e-18
12826.5000  3.066e-18  8.055e-18
12829.0000  1.412e-17  7.528e-18
12831.6000  -1.913e-18  6.177e-18
12834.2000  2.771e-18  5.602e-18
12836.7000  4.314e-20  5.810e-18
12839.3000  4.279e-18  6.026e-18
12841.9000  3.118e-18  6.474e-18
12844.4000  2.124e-17  7.026e-18
12847.0000  1.795e-17  6.326e-18
12849.6000  1.611e-17  5.147e-18
12852.2000  4.736e-18  3.113e-18
12854.7000  -1.474e-18  2.367e-18
12857.3000  5.872e-18  2.592e-18
12859.9000  -1.414e-18  3.543e-18
12862.4000  -5.299e-18  4.834e-18
12865.0000  1.800e-17  5.350e-18
12867.6000  -4.324e-19  5.056e-18
12870.2000  -4.224e-18  4.232e-18
12872.7000  6.230e-19  3.044e-18
12875.3000  6.217e-18  2.274e-18
12877.9000  1.701e-18  2.569e-18
12880.5000  2.626e-18  3.273e-18
12883.1000  1.130e-18  4.003e-18
12885.6000  2.582e-18  4.698e-18
12888.2000  -2.304e-18  4.566e-18
12890.8000  -8.950e-18  4.214e-18
12893.4000  1.958e-17  3.779e-18
12895.9000  7.313e-18  4.846e-18
12898.5000  5.583e-19  8.508e-18
12901.1000  5.703e-18  1.314e-17
12903.7000  1.441e-17  1.583e-17
12906.3000  1.622e-17  1.545e-17
12908.9000  -3.137e-18  1.217e-17
12911.4000  3.916e-19  8.285e-18
12914.0000  6.202e-18  6.237e-18
12916.6000  1.316e-17  7.480e-18
12919.2000  1.342e-17  8.475e-18
12921.8000  6.806e-18  8.201e-18
12924.4000  3.154e-18  6.956e-18
12927.0000  -2.946e-19  4.504e-18
12929.5000  -2.567e-18  3.108e-18
12932.1000  1.549e-18  2.982e-18
12934.7000  1.329e-18  3.328e-18
12937.3000  3.765e-18  3.991e-18
12939.9000  3.081e-18  4.700e-18
12942.5000  6.372e-18  4.906e-18
12945.1000  8.255e-18  4.537e-18
12947.7000  1.602e-18  3.731e-18
12950.3000  6.015e-18  2.658e-18
12952.8000  -5.326e-19  2.463e-18
12955.4000  -1.572e-18  2.405e-18
12958.0000  5.507e-18  2.329e-18
12960.6000  5.422e-18  2.259e-18
